round,layer,baseline_reset_slots,targeted_slots,random_slots,targeted_clients,baseline_random_overlap_slots,replaced_reset_slots,cold_start_count,stale_history_count,no_target_slots_count,no_valid_history_count,targeted_count,before_start_round_count,non_target_layer_count
142,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
142,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
143,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
143,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
143,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
143,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
143,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
143,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
143,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
143,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
143,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
143,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
143,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
143,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
144,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
144,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
144,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
144,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
144,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
144,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
144,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
144,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
144,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
144,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
144,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
144,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
145,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
145,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
145,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
145,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
145,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
145,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
145,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
145,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
145,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
145,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
145,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
145,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
146,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
146,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
146,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
146,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
146,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
146,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
146,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
146,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
146,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
146,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
146,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
146,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
147,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
147,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
147,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
147,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
147,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
147,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
147,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
147,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
147,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
147,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
147,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
147,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
148,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
148,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
148,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
