round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
148,70.51000213623047,1.0120914213180543,"[50, 29, 81, 33, 44, 69, 2, 68, 93, 85]","[[93, 2], [68, 44]]",11.935077300004195
149,71.54000091552734,0.9292081939697265,"[5, 84, 70, 73, 31, 62, 69, 13, 86, 74]","[[70, 84], [62, 70]]",10.731402300007176
150,71.19000244140625,0.9700769506454467,"[69, 9, 41, 83, 76, 63, 34, 67, 36, 87]","[[87, 41], [83, 76]]",10.32005769998068
151,63.4900016784668,1.3596979867935182,"[40, 77, 95, 52, 25, 38, 46, 47, 93, 88]","[[47, 95], [25, 38]]",10.943312600022182
152,68.11000061035156,1.1044066579818725,"[14, 22, 87, 6, 15, 36, 37, 44, 48, 38]","[[36, 44], [48, 38]]",12.410256000002846
153,71.55999755859375,0.9566454246520996,"[14, 66, 74, 62, 49, 45, 18, 79, 15, 68]","[[74, 49], [66, 15]]",11.054556099988986
154,69.77999877929688,1.0111930715560913,"[92, 32, 77, 87, 27, 13, 14, 47, 22, 73]","[[92, 87], [22, 32]]",9.428324300039094
155,69.56999969482422,1.055110093307495,"[60, 31, 44, 3, 84, 25, 98, 73, 52, 82]","[[82, 84], [98, 73]]",10.684981799975503
156,70.51000213623047,0.9879758003234863,"[66, 38, 74, 49, 46, 45, 12, 0, 81, 23]","[[49, 0], [0, 66]]",11.440785799990408
157,59.880001068115234,1.5937256244659423,"[6, 14, 56, 8, 37, 71, 68, 53, 88, 65]","[[14, 8], [71, 37]]",12.608703100006096
158,67.5999984741211,1.0810181879043579,"[76, 40, 68, 38, 91, 92, 18, 11, 69, 94]","[[38, 68], [94, 69]]",9.713897299952805
159,70.0199966430664,1.0206515022277831,"[0, 23, 91, 83, 98, 64, 90, 32, 84, 36]","[[90, 91], [23, 83]]",10.916852299997117
160,68.62999725341797,1.0297839237213136,"[15, 9, 95, 71, 80, 49, 39, 81, 30, 8]","[[30, 9], [71, 39]]",11.098276200005785
161,73.41999816894531,0.8858818042755127,"[29, 87, 67, 36, 35, 96, 15, 61, 24, 62]","[[15, 96], [67, 61]]",10.154482499987353
162,72.01000213623047,0.9540012786865234,"[13, 58, 87, 52, 50, 60, 3, 19, 35, 0]","[[87, 58], [3, 52]]",11.189318199991249
163,65.9800033569336,1.1895911628723144,"[55, 46, 66, 67, 73, 12, 51, 1, 57, 90]","[[1, 67], [73, 66]]",10.017521300003864
164,70.3499984741211,0.9481118377685547,"[40, 72, 92, 86, 89, 90, 16, 98, 73, 58]","[[73, 86], [92, 73]]",10.519369599991478
165,72.9000015258789,0.9315805072784424,"[0, 58, 47, 44, 94, 66, 4, 7, 27, 2]","[[0, 47], [2, 7]]",11.477857199963182
166,72.33000183105469,0.9825925594329834,"[58, 87, 14, 78, 40, 83, 73, 18, 52, 31]","[[31, 73], [78, 14]]",11.483288899995387
167,70.80999755859375,1.0011178888320922,"[99, 22, 62, 86, 5, 20, 9, 51, 7, 54]","[[62, 22], [51, 86]]",11.4426158000133
168,70.5199966430664,1.023407287979126,"[97, 37, 42, 7, 22, 5, 24, 56, 69, 12]","[[5, 42], [97, 37]]",10.941120799980126
