round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
169,72.12000274658203,0.9596005155563354,"[96, 22, 76, 44, 59, 78, 12, 68, 94, 87]","[[96, 59], [68, 12]]",10.320985600003041
170,70.6500015258789,1.0168125101089478,"[45, 7, 65, 19, 95, 16, 35, 23, 83, 88]","[[88, 16], [45, 65]]",12.877851099998225
171,69.7300033569336,1.1008120473861693,"[12, 91, 4, 90, 47, 66, 33, 9, 61, 84]","[[47, 12], [4, 66]]",11.021856300008949
172,70.08000183105469,1.0472831985473632,"[46, 60, 83, 2, 37, 70, 93, 29, 3, 43]","[[3, 70], [29, 83]]",10.587097700044978
173,68.1500015258789,1.1548439587593078,"[27, 45, 49, 4, 31, 62, 9, 95, 69, 72]","[[49, 95], [62, 31]]",10.34720300004119
174,68.77999877929688,0.9958601522445679,"[27, 28, 1, 92, 55, 48, 74, 7, 99, 62]","[[27, 74], [74, 99]]",9.938923300011083
175,72.45999908447266,0.9733705389022828,"[24, 0, 9, 11, 31, 45, 58, 35, 69, 21]","[[35, 58], [45, 35]]",10.570770799997263
176,71.80000305175781,0.9442753965377808,"[42, 98, 67, 21, 24, 81, 20, 75, 29, 36]","[[20, 42], [75, 24]]",11.665275399980601
177,69.69000244140625,1.0982898336410523,"[49, 75, 33, 60, 42, 64, 69, 11, 47, 70]","[[70, 47], [64, 70]]",11.631117899960373
178,69.75,1.1288797578811645,"[96, 60, 16, 70, 73, 40, 11, 24, 87, 93]","[[70, 87], [60, 40]]",11.44571050000377
179,74.02999877929688,0.8978215885162354,"[37, 16, 85, 31, 69, 36, 54, 25, 32, 38]","[[37, 32], [16, 38]]",11.319191000016872
180,70.48999786376953,1.0237738899230957,"[80, 92, 61, 76, 19, 28, 7, 73, 67, 38]","[[67, 92], [28, 61]]",12.249956000014208
181,70.36000061035156,1.0845481243133546,"[78, 26, 35, 44, 29, 85, 64, 66, 97, 21]","[[85, 29], [35, 66]]",11.008947499969508
182,66.08999633789062,1.1656261022567749,"[78, 73, 10, 52, 54, 24, 44, 70, 99, 90]","[[99, 44], [70, 73]]",13.164545600011479
183,73.16999816894531,0.9490941213607789,"[96, 38, 1, 4, 36, 19, 77, 52, 41, 49]","[[1, 38], [36, 38]]",11.444968299998436
184,71.13999938964844,1.028160057258606,"[87, 55, 49, 7, 51, 67, 40, 21, 34, 0]","[[49, 55], [21, 87]]",13.343492700019851
185,74.02999877929688,0.9331190498352051,"[74, 63, 39, 14, 96, 82, 21, 45, 88, 13]","[[74, 21], [39, 88]]",10.880033500026911
186,68.3499984741211,1.2385019632339478,"[1, 26, 23, 59, 22, 57, 27, 60, 18, 69]","[[60, 23], [57, 1]]",14.732300799980294
187,68.1500015258789,1.107396605682373,"[34, 87, 43, 64, 27, 92, 78, 55, 68, 7]","[[64, 92], [68, 64]]",14.737892600009218
