source_algorithm,seed,round,client_id,client_visit_index,participation_gap,task_id,task_seed,num_reset_kernels,local_update_norm,dispatch_minus_global_norm,input_change_norm,response_change_norm,secant_gain,response_change_ratio,h_norm,input_direction_cosine,response_direction_cosine,response_norm_ratio,response_prediction_nre,predicted_support,realized_support,support_sign_agreement
FedAvg,1,125,62,13,15,,,,1.4748247861862183,0.0,1.740220069885254,2.211782932281494,1.2709788667280817,0.6609702284490551,1.2726097106933594,-0.0026738386285539185,-0.5316162664476825,0.9773661965569512,0.8726442164803103,-0.008915790356695652,-0.07319237291812897,1
FedAvg,1,125,64,10,3,,,,1.4900647401809692,0.0,0.7084473371505737,1.5300202369689941,2.1596809765997373,0.6507115815975413,2.1596570014953613,-0.01995491180488513,-0.2703564299407757,1.1512141830930205,0.796691545807338,-0.03549252450466156,-0.1408892571926117,1
FedAvg,1,126,64,11,1,,,,1.090566635131836,0.0,0.597873866558075,1.7091418504714966,2.8586997125465077,0.6622960050866097,2.8600146770477295,-0.12449870357024824,-0.7172946422184644,1.3243126519419386,0.9258400897276862,0.4477517306804657,-0.6726613640785217,0
FedAvg,1,129,16,19,6,,,,0.736435055732727,0.0,1.0538088083267212,2.1279516220092773,2.0192957253660677,0.7621149149215141,2.020801305770874,-0.030470263426715775,-0.9150179928689552,1.8067891968939196,0.977626780406524,0.01198581699281931,-0.04181009903550148,0
FedAvg,1,130,65,12,30,,,,1.0162297487258911,0.0,2.3637495040893555,1.5513957738876343,0.6563283339469846,0.6626530336036401,0.6574010848999023,-0.03428724313625493,-0.44301884195125407,0.24478337034805583,0.9053232232295845,-0.019027989357709885,-0.01887320540845394,1
FedAvg,1,131,98,12,13,,,,0.9348418116569519,0.0,1.5843411684036255,1.100712537765503,0.6947446419472144,0.6192986762816513,0.6961794495582581,-0.05881465419006485,-0.39408672269759687,0.4092325835094699,0.8643451882734954,-0.011625436134636402,-0.029299359768629074,1
FedAvg,1,134,65,13,4,,,,1.0908411741256714,0.0,0.8435626029968262,1.3862465620040894,1.6433238707805327,0.6579021840078274,1.640761137008667,-0.02490015063751173,-0.42580072777517425,2.4959061646588543,0.8746361501448636,0.006475498899817467,-0.045077938586473465,0
FedAvg,1,135,88,16,20,,,,1.400780439376831,0.0,1.9100208282470703,1.774518609046936,0.9290572033576089,0.6473466327993698,0.9294201731681824,-0.0004893622143026506,-0.4704382576787843,0.9663323615309298,0.8550836968780209,-0.014540577307343483,-0.014225944876670837,1
FedAvg,1,135,42,13,20,,,,1.830049991607666,0.0,1.9100208282470703,2.166611433029175,1.1343391658280801,0.6508178796413953,1.1348031759262085,-0.02410805417462566,-0.4131610845970241,0.5205776336353287,0.8575669123152497,-0.002409451175481081,-0.01122665498405695,1
FedAvg,1,137,18,7,17,,,,0.9719734191894531,0.0,1.7179498672485352,1.4969923496246338,0.8713830235461656,0.653025381271047,0.8725147247314453,-0.07202644169051388,-0.5013554913862523,0.6346709445246743,0.8726060839717912,-0.014740838669240475,-0.010920971632003784,1
