stage,start_round,end_round,n_events,unique_targets,unique_donors,metric,count_finite,mean,std,sem,ci95_low,ci95_high
rounds_151_300,151,300,0,0,0,cos_WBA_minus_Wt__WA_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_Wt__WB_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WA_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WB_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WBA_minus_WB_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WB_minus_WA_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WBA_minus_WA_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,recovery_pull_score_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_WB__WA_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_WB__WB_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_Wt__WA_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_Wt__WB_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WA_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WB_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WBA_minus_WB_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WB_minus_WA_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WBA_minus_WA_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,recovery_pull_score_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_WB__WA_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_WB__WB_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_Wt__WA_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_Wt__WB_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WA_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WB_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WBA_minus_WB_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WB_minus_WA_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WBA_minus_WA_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,recovery_pull_score_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_WB__WA_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_WB__WB_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_Wt__WA_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_Wt__WB_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WA_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WB_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WBA_minus_WB_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WB_minus_WA_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,norm_WBA_minus_WA_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,recovery_pull_score_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_WB__WA_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_WB__WB_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_Wt__WA_minus_Wt_classifier,0,nan,nan,nan,nan,nan
rounds_301_500,301,500,0,0,0,cos_WBA_minus_Wt__WB_minus_Wt_classifier,0,nan,nan,nan,nan,nan
