stage,scope,metric,count,mean,std,median,min,q05,q25,q75,q95,max,sem,ci95_low,ci95_high,negative_fraction,zero_fraction,positive_fraction
rounds_301_500,conv,cancellation_coefficient,1000,0.1511213035043841,0.10982632696111261,0.12973327249755734,-1.1751782505895803,0.041961086434624525,0.09004349991647434,0.19251594808108963,0.32613090236432707,1.0888633716455949,0.003473013402474746,0.1443141972355336,0.1579284097732346,0.001,0.0,0.999
rounds_301_500,conv,survival_ratio,1000,2.7718825971322167,2.755794038417036,2.1916434059005887,1.003092210348257,1.239222213778549,1.7225147253634077,3.0230186339468803,5.673022391853956,52.614328717132445,0.08714585923711395,2.6010767130274735,2.94268848123696,0.0,0.0,1.0
rounds_301_500,conv,survival_cosine,1000,0.4070980787436429,0.19087819601865139,0.38792526571783625,-0.019843959534916467,0.12323645548818803,0.26636271264298256,0.5238901639794077,0.754013453863598,0.9951235650402397,0.006036098550830222,0.39526732558401567,0.4189288319032701,0.001,0.0,0.999
rounds_301_500,conv,response_cosine,1000,-0.06790270856357357,0.031186720217969425,-0.0642263901386708,-0.2363123646628377,-0.12181987295814685,-0.08259294504182903,-0.04712950428345907,-0.026895160087567618,0.028404732580453156,0.0009862106863920625,-0.06983568150890201,-0.06596973561824512,0.999,0.0,0.001
rounds_301_500,conv,cos_q_a,1000,-0.28955355921197007,0.2605607006733948,-0.26228970593429235,-0.9887989527226176,-0.7743952778168716,-0.4501576563003879,-0.10335880917326234,0.08400278106066716,0.7941865955517278,0.008239652828572964,-0.3057032787559731,-0.27340383966796705,0.889,0.0,0.111
rounds_301_500,classifier,response_change_ratio,1000,2.294336344125699,2.694684904101736,1.890350525883173,0.26751908230216315,0.811227523211773,1.3148328141853676,2.652558647908522,4.38504072498199,63.223686680917666,0.08521341873433891,2.1273180434063947,2.461354644845003,0.0,0.0,1.0
rounds_301_500,classifier,cancellation_coefficient,1000,0.7349359731835186,0.5544245461326114,0.5817914922014972,-0.6281097534721988,0.16612059907988638,0.3898064300194066,0.9413236819489246,1.762335971617834,6.173759317030039,0.0175324435648415,0.7005723837964292,0.7692995625706079,0.002,0.0,0.998
rounds_301_500,classifier,survival_ratio,1000,2.2347809899278035,2.657251895017121,1.7976067192801848,0.6564321509070615,0.9914805278270713,1.341290879484427,2.466177854505863,4.229590891220968,63.225413115308335,0.08402968305052733,2.07008281114877,2.399479168706837,0.0,0.0,1.0
rounds_301_500,classifier,survival_cosine,1000,0.21856826397578064,0.2912716089655352,0.21605706725766524,-0.7504380895536976,-0.2655732593354923,0.024124513112001453,0.4128915490710366,0.704689989575924,0.964281497959738,0.009210817020730119,0.2005150626151496,0.23662146533641168,0.225,0.0,0.775
rounds_301_500,classifier,response_cosine,1000,-0.34955871569058095,0.15695675373282245,-0.3522294566122063,-0.8431630870264416,-0.6098262342562978,-0.4659149039163739,-0.23314900648915252,-0.09609550940338098,0.08816378255120261,0.004963408359418543,-0.3592869960750413,-0.3398304353061206,0.998,0.0,0.002
rounds_301_500,classifier,cos_q_a,1000,-0.11166977005070076,0.33795121161245917,-0.05809250899452653,-0.9912959966369155,-0.7727041386910579,-0.30168892776682255,0.12365218802251497,0.35775942063370286,0.6973512282096682,0.010686955667089163,-0.13261620315819553,-0.090723336943206,0.583,0.0,0.417
