round,transplant_probe_0.2,transplant_probe_0.5,pure_fedavg
152,68.11000061035156,68.11000061035156,63.580002
153,71.55999755859375,71.55999755859375,71.709999
154,69.77999877929688,69.77999877929688,73.120003
155,69.56999969482422,69.56999969482422,70.760002
156,70.51000213623047,70.51000213623047,70.849998
157,59.880001068115234,59.880001068115234,63.369999
158,67.5999984741211,67.5999984741211,70.910004
159,70.0199966430664,70.0199966430664,70.209999
160,68.62999725341797,68.62999725341797,70.510002
161,73.41999816894531,73.41999816894531,72.440002
162,72.01000213623047,72.01000213623047,70.739998
163,65.9800033569336,65.9800033569336,66.540001
164,70.3499984741211,70.3499984741211,70.050003
165,72.9000015258789,72.9000015258789,72.559998
166,72.33000183105469,72.33000183105469,71.360001
167,70.80999755859375,70.80999755859375,67.849998
168,70.5199966430664,70.5199966430664,70.599998
169,72.12000274658203,72.12000274658203,71.690002
170,70.6500015258789,70.6500015258789,70.779999
171,69.7300033569336,69.7300033569336,66.269997
172,70.08000183105469,70.08000183105469,68.68
173,68.1500015258789,68.1500015258789,67.309998
174,68.77999877929688,68.77999877929688,67.25
175,72.45999908447266,72.45999908447266,71.080002
176,71.80000305175781,71.80000305175781,71.300003
177,69.69000244140625,69.69000244140625,67.989998
178,69.75,69.75,69.029999
179,74.02999877929688,74.02999877929688,72.970001
180,70.48999786376953,70.48999786376953,72.029999
181,70.36000061035156,70.36000061035156,70.860001
182,66.08999633789062,66.08999633789062,65.599998
183,73.16999816894531,73.16999816894531,73.419998
184,71.13999938964844,71.13999938964844,71.599998
185,74.02999877929688,74.02999877929688,70.769997
186,68.3499984741211,68.3499984741211,68.949997
187,68.1500015258789,68.1500015258789,66.559998
188,70.3499984741211,70.3499984741211,72.370003
189,67.91000366210938,67.91000366210938,65.849998
190,70.54000091552734,70.54000091552734,68.68
191,66.44000244140625,66.44000244140625,62.209999
192,69.19000244140625,69.19000244140625,68.800003
193,74.26000213623047,74.26000213623047,72.779999
194,66.36000061035156,66.36000061035156,69.589996
195,71.23999786376953,71.23999786376953,71.879997
196,73.93000030517578,73.93000030517578,73.559998
197,54.41999816894531,54.41999816894531,66.519997
198,69.77999877929688,69.77999877929688,69.419998
199,59.9900016784668,59.9900016784668,63.759998
200,58.290000915527344,58.290000915527344,56.740002
201,68.66999816894531,68.66999816894531,68.610001
202,68.2699966430664,68.2699966430664,71.129997
203,59.88999938964844,59.88999938964844,62.740002
204,71.08999633789062,71.08999633789062,71.010002
205,69.01000213623047,69.01000213623047,67.809998
206,71.76000213623047,71.76000213623047,72.209999
207,68.19999694824219,68.19999694824219,67.800003
208,69.94999694824219,69.94999694824219,66.290001
209,70.58999633789062,70.58999633789062,71.980003
210,70.83999633789062,70.83999633789062,71.879997
211,67.98999786376953,67.98999786376953,67.349998
212,74.87999725341797,74.87999725341797,75.139999
213,72.06999969482422,72.06999969482422,72.739998
214,73.19000244140625,73.19000244140625,73.330002
215,72.9800033569336,72.9800033569336,73.480003
216,71.52999877929688,71.52999877929688,72.339996
217,62.75,62.75,61.560001
218,73.52999877929688,73.52999877929688,72.550003
219,72.94000244140625,72.94000244140625,70.529999
220,63.720001220703125,63.720001220703125,71.410004
221,66.36000061035156,66.36000061035156,69.120003
222,62.959999084472656,62.959999084472656,63.259998
223,73.18000030517578,73.18000030517578,74.019997
224,72.01000213623047,72.01000213623047,72.900002
