round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
428,70.37000274658203,1.2132548259735108,"[3, 14, 23, 71, 39, 58, 91, 9, 13, 67]","[[67, 14], [14, 71], [13, 9], [71, 13], [23, 13]]",15.120744499959983
429,66.36000061035156,1.5361761125564575,"[2, 90, 64, 67, 74, 51, 27, 54, 30, 94]","[[27, 94], [90, 94], [64, 30], [2, 94], [74, 94]]",10.512497499992605
430,69.33000183105469,1.2861160858154297,"[8, 80, 21, 38, 52, 63, 93, 66, 1, 44]","[[63, 21], [21, 66], [52, 21], [80, 93], [44, 38]]",14.425590900005773
431,73.06999969482422,1.0673064331054687,"[68, 83, 93, 49, 33, 94, 99, 45, 4, 79]","[[49, 94], [83, 93], [33, 68], [68, 33], [4, 45]]",14.580026900046505
432,74.22000122070312,1.0715151082992553,"[66, 81, 5, 45, 93, 34, 31, 51, 65, 27]","[[81, 45], [31, 81], [93, 66], [45, 51], [5, 45]]",14.047532600001432
433,75.45999908447266,1.0087844058990478,"[13, 82, 43, 34, 96, 22, 29, 21, 15, 98]","[[98, 82], [96, 13], [43, 34], [15, 96], [13, 43]]",10.120539300027303
434,75.91000366210938,0.9917446447372437,"[15, 77, 88, 1, 83, 22, 74, 87, 75, 86]","[[22, 1], [15, 75], [88, 83], [87, 1], [75, 74]]",12.267715500027407
435,73.94999694824219,1.0856795593261719,"[57, 20, 56, 70, 71, 28, 72, 2, 63, 75]","[[63, 56], [28, 72], [2, 70], [72, 28], [57, 28]]",14.462874400021974
436,72.4000015258789,1.193526314163208,"[40, 2, 35, 47, 85, 52, 75, 80, 37, 21]","[[80, 47], [40, 75], [2, 52], [37, 21], [35, 37]]",14.297045699961018
437,75.12000274658203,1.0307695167541504,"[84, 63, 70, 4, 65, 79, 93, 9, 58, 78]","[[93, 70], [65, 9], [70, 63], [9, 63], [84, 4]]",16.73955220001517
438,75.4800033569336,1.0000555631637573,"[45, 59, 24, 34, 53, 44, 62, 36, 81, 20]","[[44, 20], [81, 45], [36, 59], [20, 45], [45, 20]]",15.449496300017927
439,76.44000244140625,0.9656127290725708,"[63, 71, 68, 40, 19, 20, 49, 3, 79, 46]","[[49, 71], [68, 49], [71, 79], [40, 71], [79, 63]]",15.320590600022115
440,70.88999938964844,1.3298008039474487,"[95, 6, 49, 55, 74, 53, 26, 27, 16, 21]","[[53, 21], [55, 49], [6, 53], [16, 27], [49, 74]]",14.226737200049683
441,74.37999725341797,1.0679856342315674,"[72, 86, 40, 12, 89, 0, 66, 52, 54, 29]","[[52, 89], [66, 54], [12, 66], [72, 54], [0, 52]]",14.032532299985178
442,76.08000183105469,0.9849604209899903,"[32, 76, 58, 59, 44, 71, 93, 96, 45, 47]","[[44, 59], [93, 44], [45, 58], [32, 96], [58, 71]]",13.99680270004319
443,73.01000213623047,1.1139635807037354,"[17, 14, 46, 7, 68, 84, 43, 35, 61, 99]","[[14, 43], [35, 84], [61, 68], [99, 14], [84, 99]]",14.67021280003246
444,71.66000366210938,1.164662950325012,"[69, 5, 99, 15, 89, 98, 56, 54, 48, 90]","[[99, 48], [56, 69], [90, 15], [15, 99], [5, 56]]",12.088000999996439
445,73.11000061035156,1.1294164394378663,"[40, 55, 60, 58, 38, 33, 13, 46, 15, 64]","[[38, 64], [33, 13], [55, 60], [15, 13], [40, 46]]",14.190789300017059
446,73.72000122070312,1.109581243133545,"[45, 76, 62, 4, 1, 70, 16, 87, 35, 7]","[[62, 4], [7, 16], [70, 35], [35, 62], [76, 4]]",13.880828300025314
447,75.36000061035156,1.040206155014038,"[25, 85, 89, 47, 0, 21, 39, 83, 87, 27]","[[83, 0], [39, 21], [21, 25], [47, 83], [89, 87]]",12.939406500023324
448,75.02999877929688,1.0345143321990966,"[30, 22, 23, 63, 42, 80, 78, 86, 60, 5]","[[86, 60], [5, 22], [42, 86], [30, 86], [63, 5]]",14.700185200024862
449,73.41999816894531,1.0882612728118897,"[30, 98, 87, 67, 44, 90, 46, 19, 31, 70]","[[19, 46], [67, 44], [31, 98], [87, 19], [98, 67]]",11.987841200025287
