round,test_accuracy,round_train_seconds,selected_clients,global_state_sha256,round_shadow_event_count,observer_history_bytes,max_alignment_identity_abs_error,max_response_identity_abs_error,max_epsilon_geometry_abs_error
82,66.76000213623047,11.856402599951252,"[61, 40, 41, 34, 97, 51, 50, 13, 22, 8]",9a70d49fbbd1f3a7c83e43dfd8967d5651b2c4d3e460867d60b0c4ed7a7b0dfa,5,4441359912,1.734919087277402e-08,3.357895295152957e-08,0.0018358469009399636
83,67.41000366210938,7.1777232000022195,"[87, 54, 63, 83, 96, 26, 0, 59, 69, 14]",c991c5d81b49a9077642a2539c09d5672f7d9b87c9099e50077818e02ef4c4c3,0,4441359912,nan,nan,nan
84,64.44999694824219,25.844716399966273,"[58, 47, 83, 36, 8, 2, 56, 49, 10, 38]",44e61a73f7b3aeb252247022f37cf260d22896732895747c2dd5cc41ba3f5b0a,15,4441359912,2.584678715489546e-08,3.039052032249856e-08,0.0011734366416931152
85,66.6500015258789,7.285774099989794,"[89, 90, 81, 54, 59, 4, 53, 47, 52, 19]",62ee5d3d8f76b6c78508aae6c942b78805726774792476e44eb035b77d3421f5,0,4441359912,nan,nan,nan
86,66.86000061035156,18.48801920004189,"[24, 13, 81, 73, 19, 55, 40, 76, 57, 96]",b04801bb918a05da17f409825cede27bb42781bfe6c88f0c3d175e2a1afa8e45,10,4441359912,2.5985207749434913e-08,3.145567362139445e-08,0.0010792732238769642
87,66.27999877929688,11.355319600028452,"[31, 75, 94, 20, 87, 26, 29, 70, 2, 50]",6e51e3836d0550b6336aeb1627b6a13c4a9520e9de988e90435712592ea6347e,5,4441359912,5.952958347620052e-09,1.7169922372772817e-08,0.0009983360767364946
88,70.3499984741211,7.145918300026096,"[0, 9, 46, 37, 72, 83, 73, 16, 55, 27]",019ace9c1d8d17b18fa623a245d5a0d7cbe2b30db4c59c330728b247b18dfc5e,0,4441359912,nan,nan,nan
89,71.4800033569336,12.00975239998661,"[80, 29, 9, 50, 26, 81, 48, 82, 37, 15]",8ca2799e396aec8cf113bfc34bd88064414db1c84b3f75ca22ef8579aa5e4bbc,5,4441359912,3.789805980191144e-08,1.6498237442874597e-08,0.0023141622543335627
90,68.88999938964844,10.464390899986029,"[82, 6, 87, 74, 29, 50, 62, 67, 12, 83]",64d4318950a9a3b7fe1545901a1e0f66fb7d3e419bba3691cf03cc41e21debe8,5,4441359912,1.50320786352319e-08,6.929345985895452e-09,0.0005869984626770131
91,68.19999694824219,20.241536899993662,"[36, 75, 89, 43, 12, 21, 95, 72, 24, 63]",be8c6a8f64bf48eeaedf3fc312961611af6b1ddceaab2637d24040c40801cc32,10,4441359912,4.525770814996265e-08,1.47335690314776e-08,0.0007561564445495716
92,68.19999694824219,8.550217500014696,"[34, 15, 31, 94, 46, 70, 19, 80, 6, 88]",950b245eb17fbd1fadaa323c773e2bfbc7cc290a56789267cf3a03b5319dd430,0,4441359912,nan,nan,nan
93,64.11000061035156,7.188217899994925,"[70, 92, 72, 77, 23, 53, 1, 12, 97, 93]",1493ba08e8cd210259c7006dac9dbdbf2cd186429b673f10bdd11601e00331ea,0,4441359912,nan,nan,nan
94,68.69999694824219,17.497755200020038,"[13, 38, 36, 14, 57, 77, 66, 73, 3, 0]",35e4b363ba11783942c33970e2299916d5168eb3cc0edf5bf2c4877310a83633,10,4441359912,3.1864837368765844e-08,1.229781876332936e-08,0.0011190652847290483
95,68.97000122070312,12.859943999967072,"[13, 19, 10, 24, 76, 57, 88, 23, 61, 31]",131d19405a1d4e764f2b57d1ae56aa21fd0dc00cc1c151b43f8c57cb2b42c119,5,4441359912,9.151246888093947e-09,1.840917285278465e-08,0.0006232738494873491
96,68.0,15.610490999999456,"[18, 45, 94, 24, 56, 67, 10, 14, 13, 9]",c1781776e31d1d2c449f8313f5beffeccc0386da146c0d593c246eb7c9fcbe0f,10,4441359912,1.678296026631776e-08,1.825725881587914e-08,0.0008350431919098011
97,66.87000274658203,6.149526700028218,"[13, 48, 73, 93, 70, 1, 43, 77, 76, 88]",70289ac0e7deec0852379ae2897d3d7486e828a84ffaccf558cc290abcdf6e7c,0,4441359912,nan,nan,nan
98,64.69000244140625,11.024220099963713,"[21, 45, 83, 68, 75, 65, 96, 1, 77, 73]",115571d948d133e54315b1e66e53f19bd9bcce5137eb3eac9af1a207d21f30e9,5,4441359912,1.4465479107952928e-08,1.9496496861393098e-08,0.0020152091979981357
99,64.7300033569336,10.599115899996832,"[81, 84, 60, 18, 45, 47, 94, 83, 76, 22]",4fd31b9d88628cc122fd6beb88275687ba1b54fe1f0721b795aeda1ad3f3085c,5,4441359912,1.0420851825985317e-08,1.3043088387121315e-08,0.0006458044052123912
100,62.970001220703125,15.105220999976154,"[21, 69, 47, 34, 65, 81, 93, 44, 30, 84]",bb091ce83df84629dd5deb907bdfc887fbdf66e080dd0f010c93bf46b04217a0,5,4441359912,9.695080383474719e-09,1.8287602543409776e-08,0.0006183028221130593
101,66.8499984741211,9.350417700014077,"[22, 38, 77, 15, 11, 61, 37, 34, 87, 3]",0a9136d979caf5837a02181c6fa2478ba8bc2716f62cf7ffb4a16dfee7e7c698,5,4441359912,1.7128871404592516e-08,1.742851019059799e-08,0.001218891143798806
102,70.87999725341797,15.360193900007289,"[96, 9, 26, 58, 69, 44, 13, 93, 61, 43]",c80a7d0365c0ef29e07c3799b09d6f584f151d6195f97581c4ee6d69f16040d9,5,4441359912,1.0963415322808002e-08,2.4026419964684465e-08,0.002353775501251265
103,71.80000305175781,6.694315100030508,"[13, 34, 27, 16, 72, 98, 14, 19, 9, 46]",05d39f1c884d82abba3b918a038230cd0b84964e7b4a5aa296e21c6d71e4aa79,0,4441359912,nan,nan,nan
104,70.5,12.972783699980937,"[29, 72, 81, 80, 68, 85, 14, 0, 93, 52]",8f80ef2fd340122e2b3d278652f1d3098827b01bea7e0d46d3622afc26315abe,5,4441359912,1.4671352066390753e-08,2.2246693376359872e-08,0.0002504348754882868
